farsi,exactr,exactf,chapter
Vāženāme,vāženāme,واژنامه,0
ahvālporsi,"расспрашивание, осведомление о здоровье",احوالپرسی,1
aknun,теперь,اکنون,1
alāqemand,заинтересованный,علاقمند,1
amme,тётя (по отцу),عمه,1
amu,дядя (по отцу),عمو,1
āmuzgār,учитель,آموزگار,1
ānhā,они,آنها,1
asr be xeyr,добрый вечер,عصر به خیر,1
barādar,брат,برادر,1
bāzi,игра,بازی,1
be,к,به,1
bimār,больной,بیمار,1
boland,"высокий, длинный",بلند,1
"budan (hast, bāš)",быть,بودن,1
cāq,"толстый, в т.ч. о человеке",چاق,1
cetowr,как,چطور,1
ci,что ?,چی,1
daftar,тетрадь,دفتر,1
dānešāmuz,ученик,دانش آموز,1
dānešju,студент,دانشجو,1
dar,"дверь, в",در,1
dāyi,дядя (по матери),دایی,1
doxtar,"девочка, девушка, дочь",دختر,1
doxtaramme,"двоюродная сестра, дочь сестры отца",دختر‌عمه,1
doxtaramu,"двоюродная сестра, дочь брата отца",دخترمو,1
doxtardāyi,"двоюродная сестра, дочь сестры матери",دختردایی,1
doxtarxāle,"двоюродная сестра, дочь брата матери",دخترخاله,1
esm,имя,اسم,1
fārsi,фарси,فارسی,1
gorosne,голодный,گرسنه,1
hāl,состояние здоровья,حال,1
ham,тоже,هم,1
hamconin,также,همچنین,1
hamintowr,"точно так же, таким же образом",همینطور,1
irāni,"иранский, иранец",ایرانی,1
jāru,"метёлка, веник, половая щётка",جارو,1
kānādāyi,"канадец, канадский",کانادایی,1
kārgar,рабочий,کارگر,1
kārmand,сотрудник,کارمند,1
kelās,класс,کلاس,1
ketāb,книга,کتاب,1
lebās,"костюм, платье",لباس,1
mā,мы,ما,1
mādar,мать,مادر,1
mamnun,благодарный,ممنون,1
man,я,من,1
māšin,машина,ماشین,1
mersi,спасибо,مرسی,1
metro,метро,مترو,1
moallem,учитель,معلم,1
mohandes,инженер,مهندس,1
motešakker,благодарный,متشکر,1
nām,имя (ن___),نام,1
nānvā,пекарь,نانوا,1
nevisande,писатель,نویسنده,1
ostād,преподаватель,استاد,1
parastār,медсестра,پرستار,1
pārk,парк (پ___),پارک,1
pedar,отец,پدر,1
pesar,"мальчик, сын",پسر,1
pesaramme,"двоюродный брат, сын сестры отца",پسرعمه,1
