spoken,written,division
Navid‐e,Navid‐ast,1
ci‐ye,ci‐st,1
Narges‐e,Narges‐ast,1
hāl‐et,hāl‐at,1
cetowr‐e,cetowr‐ast,1
man‐am,man ham,1
Kāmbiz‐e,Kāmbiz‐ast,2
ci‐ye,ci‐st,2
sob,sobh,2
hāl‐etun,hāl‐etān,2
cetowr‐e,cetowr‐ast,2
xānum,xānom,2
motšakker‐am,motešakker‐am,2
man‐am,man ham,2
bāšin,bāšid,2
hamcenin,hamconin,2
bebaxšin,bebaxšid,3
hastin,hastid,3
kojā‐yin,kojā‐yid,3
bebaxšin,bebaxšid,4
ci‐ye,ci‐st,4
etun,etān,4
cekāra‐n,cekāre‐and,4
dandunpezešk,dandānpezešk,4
šoql‐ešun,šoql‐ešān,4
tu,tu‐ye / dar,5
kār‐et,kār‐at,5
xiyābun,xiyābān,5
cand sāl‐et‐e,cand sāl‐at ast,6
xunevāde,xānevāde,6
bacca‐m,bacce‐am,6
xāharā‐m,xāharhā‐yam,6
kucik,kucak,6
cand sāl‐eš‐e,cand sāl‐aš‐ast,6
mixām,mixāham,7
meydun,meydān,7
dowr bezanin,dowr bezanid,7
cārrā,cāhārrāh,7
bepicin,bepicid,7
xiyābun,xiyābān,7
berin,beravid,7
yetarafe,yektarafe,7
candšanba‐st,candšanbe‐ast,8
mage,magar,8
emruz‐e,emruz‐ast,8
āre,āri/bale,8
ozr mixām,ozr mixāham,8
cand‐e,cand‐ast,8
panj‐e,panj‐ast,8
dige,digar,8
vaxt,vaqt,8
babaxšin,bebaxšid,9
un,ān,9
tu vitrin,tu‐ye/dar vitrin,9
cand‐e,cand‐ast,9
kudumyeki,kodāmyek,9
tu vitrin‐e,tu‐ye/dar vitrin‐ast,9
šalvār qermeze,in/ān šalvār‐e qermez,9
Toman,Tumān,9
piran,pirāhan,9
kudum,kodām,9
piran sabze,in/ān pirāhan‐e sabz,9
punsad,pānsad,9
befarmāyin,befarmāyid,10
ye,yek,10
kilu‐am,kilu ham,10
dige,digar,10
nadārin,nadārid,10
ceqad,ceqadr,10
miše,mišavad,10
nadāre,nadārad,10
punsad,pānsad,10
Toman,Tumān,10
ruham,ruyeham,10
nakone,nakonad,10
miše,mišavad,11
alān,al’ān,11
miz‐o,miz rā,11
livānā,livānhā,11
kojā‐n,kojā‐yand,11
tu,tu‐ye/dar,11
cangālā,cangālhā,11
